,index,year,val,Received Array,Z Array,SH Array,SL Array
0,12770,1990,14862.11220739943,0.7653499596272377,-1.8163374927946179,0.0,0.0
1,12773,1991,14956.091825200929,0.7701896012398444,-1.7379513790045948,0.0,1.2379513790045948
2,12776,1992,15060.14774259778,0.7755481391829911,-1.6511608687598853,0.0,2.38911224776448
3,12779,1993,15166.77181037365,0.7810389284347993,-1.5622283267369126,0.0,3.4513405745013923
4,12782,1994,15270.02694946484,0.7863562289256004,-1.4761057262034418,0.0,4.427446300704834
5,12785,1995,15364.99288639284,0.7912466627333616,-1.3968969476155417,0.0,5.324343248320376
6,12788,1996,15569.763474116093,0.8017916753708527,-1.2261027800543598,0.0,6.050446028374735
7,12791,1997,15946.94827098914,0.8212154534335072,-0.9115021134501775,0.0,6.461948141824913
8,12794,1998,16407.25397610819,0.8449196852353404,-0.5275723186315864,0.0,6.489520460456499
9,12797,1999,16859.00218371634,0.8681832340250232,-0.1507801243836197,0.0,6.140300584840119
10,12800,2000,17209.26231517063,0.8862204802607302,0.1413633335550524,0.0,5.498937251285067
11,12803,2001,17506.96906685209,0.9015514000654348,0.38967329543052204,0.0,4.609263955854545
12,12806,2002,17836.20553438406,0.9185059966676561,0.6642814265499365,0.1642814265499365,3.4449825293046086
13,12809,2003,18152.8894686452,0.9348141790389808,0.9284197949235797,0.5927012214735163,2.016562734381029
14,12812,2004,18411.01922078021,0.9481070133695384,1.143719543920036,1.2364207653935524,0.3728431904609928
15,12815,2005,18563.527467754982,0.9559606871297761,1.2709229639906676,2.0073437293842202,0.0
16,12818,2006,18572.82932218024,0.9564397020779533,1.2786814145621166,2.786025143946337,0.0
17,12821,2007,18476.12360842237,0.9514596754782711,1.1980215304287185,3.4840466743750556,0.0
18,12824,2008,18333.87644096219,0.9441344136074494,1.079376627249889,4.063423301624945,0.0
19,12827,2009,18205.62195724261,0.9375297289861125,0.9724026813017537,4.535825982926698,0.0
20,12830,2010,18150.89296497148,0.9347113656578978,0.9267545597607706,4.962580542687469,0.0
21,12833,2011,18046.53475172485,0.9293372604714684,0.8397119118990578,5.302292454586527,0.0
22,12836,2012,17793.79725946414,0.9163221098119465,0.6289097157335263,5.431202170320053,0.0
23,12839,2013,17488.547739353082,0.9006027622095971,0.3743085141377264,5.305510684457779,0.0
24,12842,2014,17230.89036070434,0.8873342535619303,0.15940276037887846,4.964913444836657,0.0
25,12845,2015,17125.125708062442,0.8818877213665157,0.07118703561969644,4.536100480456354,0.0
26,12848,2016,17134.16177058225,0.8823530489046352,0.07872379562639809,4.114824276082752,0.0
27,12851,2017,17148.55293646924,0.8830941466757254,0.0907271171250166,3.7055513932077684,0.0
28,12854,2018,17164.7124618251,0.8839263091507567,0.10420538425324198,3.3097567774610104,0.0
29,12857,2019,17178.6671750356,0.8846449310426671,0.11584467118815854,2.925601448649169,0.0
30,12860,2020,18835.94594320181,0.9699893437753059,1.498140589625014,3.9237420382741828,0.0
31,12863,2021,19418.71430245844,1.0,1.984213506184453,5.407955544458636,0.0
