,index,year,val,Received Array,Z Array,SH Array,SL Array
0,15074,1990,9752.55513659849,0.7051505619697145,-1.6283474453953066,0.0,0.0
1,15077,1991,9789.15701023764,0.7077970306545144,-1.5413434363690925,0.0,1.0413434363690925
2,15080,1992,9829.71020597171,0.7107291964675775,-1.4449469884037964,0.0,1.9862904247728892
3,15083,1993,9873.78282101715,0.7139158310296463,-1.3401847504094921,0.0,2.8264751751823813
4,15086,1994,9921.27917412711,0.7173500161860382,-1.227284160253064,0.0,3.553759335435445
5,15089,1995,9971.46084699491,0.7209783612020554,-1.1080004655934972,0.0,4.161759801028943
6,15092,1996,10022.17662817715,0.7246453244850605,-0.987447175692206,0.0,4.649206976721149
7,15095,1997,10072.414130291769,0.7282777061893319,-0.8680307728455658,0.0,5.017237749566714
8,15098,1998,10122.39428516014,0.7318914806104071,-0.7492260939329545,0.0,5.266463843499668
9,15101,1999,10173.1286741361,0.7355597893147929,-0.6286285726169382,0.0,5.395092416116606
10,15104,2000,10224.89146965816,0.7393024561175191,-0.5055864908584227,0.0,5.4006789069750285
11,15107,2001,10277.292235710329,0.7430912508602083,-0.38102792952546255,0.0,5.281706836500491
12,15110,2002,10328.33530697904,0.7467818785865484,-0.25969665896891364,0.0,5.041403495469405
13,15113,2003,10376.38584581297,0.7502561336906844,-0.14547874882482445,0.0,4.686882244294229
14,15116,2004,10420.951774993,0.7534784369297677,-0.03954388486493034,0.0,4.22642612915916
15,15119,2005,10461.481132379,0.7564088791304746,0.05679589846425818,0.0,3.669630230694902
16,15122,2006,10501.81821326668,0.7593254189354561,0.1526786334368474,0.0,3.0169515972580547
17,15125,2007,10545.92271175314,0.7625143588037794,0.2575166595511177,0.0,2.259434937706937
18,15128,2008,10591.88295867084,0.7658374770521101,0.3667658684057494,0.0,1.3926690693011878
19,15131,2009,10637.34661600664,0.7691246897948745,0.4748346654352443,0.0,0.4178344038659436
20,15134,2010,10679.31488779306,0.7721591715302336,0.574594801577959,0.07459480157795895,0.0
21,15137,2011,10725.63589529009,0.7755083742786455,0.6847015516888076,0.2592963532667666,0.0
22,15140,2012,10782.27485046324,0.7796036078364488,0.8193344455046331,0.5786307987713997,0.0
23,15143,2013,10843.52752818682,0.7840324328483519,0.9649343286713129,1.0435651274427125,0.0
24,15146,2014,10903.55738000511,0.7883728424283781,1.107627509379258,1.6511926368219703,0.0
25,15149,2015,10956.05123653814,0.7921683680025237,1.232407350232411,2.3835999870543816,0.0
26,15152,2016,11004.77487118823,0.7956912907518434,1.348225234056586,3.2318252211109675,0.0
27,15155,2017,11057.20030603303,0.7994818691515069,1.472842434023125,4.2046676551340925,0.0
28,15158,2018,11112.00143879055,0.803444220455272,1.6031067559014986,5.3077744110355916,0.0
29,15161,2019,11168.92132711692,0.8075597666560794,1.7384074382256225,6.546181849261214,0.0
30,15164,2020,12408.6412149517,0.8971967041916746,4.685267519065309,10.731449368326523,0.0
31,15167,2021,13830.45786612782,1.0,8.064978349502887,18.29642771782941,0.0
