,index,year,val,Received Array,Z Array,SH Array,SL Array
0,13730,1990,12004.75717370289,0.8208339716645473,-1.2403644592345324,0.0,0.0
1,13733,1991,11976.357200801089,0.8188921029357722,-1.3082708606253457,0.0,0.8082708606253457
2,13736,1992,11957.42309755326,0.8175974699045546,-1.3535436790033009,0.0,1.6618145396286463
3,13739,1993,11946.46240117478,0.8168480243464,-1.379751501467546,0.0,2.5415660410961927
4,13742,1994,11942.00880558086,0.8165435065201208,-1.3904003725449552,0.0,3.431966413641148
5,13745,1995,11942.34580480848,0.8165665490865345,-1.389594582874017,0.0,4.321560996515165
6,13748,1996,11971.96401452472,0.8185917156403596,-1.3187752886295268,0.0,5.140336285144692
7,13751,1997,12042.81887542036,0.8234364681030009,-1.1493561613259171,0.0,5.789692446470609
8,13754,1998,12134.41121021634,0.8296991603721376,-0.9303522252136127,0.0,6.220044671684223
9,13757,1999,12225.935066392847,0.8359571703660411,-0.7115120264624926,0.0,6.431556698146715
10,13760,2000,12295.53069345926,0.8407158218030354,-0.5451038188575761,0.0,6.476660517004291
11,13763,2001,12346.82427929738,0.8442230579074566,-0.4224571233575128,0.0,6.399117640361804
12,13766,2002,12399.15641920581,0.847801305899081,-0.29732716951743504,0.0,6.196444809879239
13,13769,2003,12453.96287957737,0.8515487373455254,-0.16628093543583103,0.0,5.86272574531507
14,13772,2004,12512.74389845454,0.855567932110175,-0.02573124280634479,0.0,5.3884569881214155
15,13775,2005,12577.302635642687,0.8599821825514814,0.12863339465089782,0.0,4.759823593470518
16,13778,2006,12652.619790952447,0.865132047628537,0.30872219254387345,0.0,3.9511014009266443
17,13781,2007,12738.067413710349,0.8709745907589641,0.5130336751270345,0.01303367512703446,2.93806772579961
18,13784,2008,12826.02313044833,0.8769886266329083,0.7233421928878678,0.2363758680149023,1.714725532911742
19,13787,2009,12908.68604504804,0.8826407633249259,0.9209952356689796,0.6573711036838819,0.29373029724276234
20,13790,2010,12977.25603174851,0.8873292858586117,1.0849510625405354,1.2423221662244173,0.0
21,13793,2011,13003.09588894044,0.8890961048203945,1.1467360410129992,1.8890582072374165,0.0
22,13796,2012,12981.07004849805,0.8875900720179001,1.0940706540697607,2.4831288613071774,0.0
23,13799,2013,12938.751893863478,0.8846965375265652,0.9928848675667299,2.976013728873907,0.0
24,13802,2014,12905.72467140369,0.88243827725587,0.9139143758365885,3.3899281047104957,0.0
25,13805,2015,12913.08398519816,0.8829414756699014,0.9315110305311594,3.821439135241655,0.0
26,13808,2016,12956.837720363732,0.8859331690204165,1.0361293945265722,4.357568529768227,0.0
27,13811,2017,13007.63581062119,0.8894065252554216,1.1575913240444953,5.0151598538127224,0.0
28,13814,2018,13059.60952717895,0.8929602657906928,1.2818642615767588,5.7970241153894815,0.0
29,13817,2019,13106.69194366124,0.8961795601385518,1.3944417447719224,6.691465860161404,0.0
30,13820,2020,14420.05134954888,0.9859814613148015,4.534779635057188,10.726245495218592,0.0
31,13823,2021,14625.07350829884,1.0,5.025002532600939,15.251248027819532,0.0
