,index,year,val,Received Array,Z Array,SH Array,SL Array
0,18434,1990,10659.05107868228,0.9074513760162178,0.40485818110164074,0.0,0
1,18437,1991,10638.94490357888,0.9057396498851279,0.24783470977303615,0.0,0
2,18440,1992,10620.435106486211,0.9041638303569602,0.10327849367862443,0.0,0
3,18443,1993,10603.685170282071,0.9027378354401117,-0.027533712709748987,0.0,0
4,18446,1994,10589.22043539883,0.901506389650368,-0.1404991510158279,0.0,0
5,18449,1995,10577.13846561893,0.9004777990168467,-0.2348558760304577,0.0,0
6,18452,1996,10569.81807197667,0.8998545820686762,-0.29202605460933695,0.0,0
7,18455,1997,10566.35675424817,0.8995599050366994,-0.31905795512273805,0.0,0
8,18458,1998,10563.90504082541,0.8993511800101788,-0.3382051350495572,0.0,0
9,18461,1999,10560.59590211885,0.8990694586401873,-0.36404856096918536,0.0,0
10,18464,2000,10552.81480619019,0.8984070201027177,-0.42481669250964893,0.0,0
11,18467,2001,10542.39569315638,0.8975199956959852,-0.5061869823992141,0.0,0
12,18470,2002,10533.62437954644,0.8967732556207144,-0.5746884305394814,0.0,0
13,18473,2003,10526.19223940477,0.8961405252070482,-0.6327313172866648,0.0,0
14,18476,2004,10520.03311084852,0.8956161718061524,-0.6808323480042355,0.0,0
15,18479,2005,10515.16560220186,0.8952017796255936,-0.7188461970078402,0.0,0
16,18482,2006,10510.60902849556,0.8948138586888068,-0.7544317331452788,0.0,0
17,18485,2007,10506.3278806467,0.894449385953129,-0.787866272188232,0.0,0
18,18488,2008,10503.60584926448,0.8942176475830694,-0.8091245579886646,0.0,0
19,18491,2009,10503.89576078868,0.89424232901199,-0.80686043198389,0.0,0
20,18494,2010,10509.02206676427,0.8946787537347058,-0.7668254499328564,0.0,0
21,18497,2011,10524.03104017693,0.8959565329174276,-0.6496096645229323,0.0,0
22,18500,2012,10550.589170819929,0.8982175420840511,-0.44219826757069,0.0,0
23,18503,2013,10584.69350952861,0.9011209927628091,-0.1758531460414248,0.0,0
24,18506,2014,10627.67833184463,0.9047804776335118,0.15984601005333557,0.0,0
25,18509,2015,10679.30498455114,0.909175679109873,0.5630353874144142,0.0,0
26,18512,2016,10744.11052596956,0.9146928566990896,1.0691481126104412,0.06914811261044118,0
27,18515,2017,10843.68708836696,0.9231702425282282,1.8468125570012353,0.9159606696116764,0
28,18518,2018,10958.11127563691,0.9329116712371419,2.7404327008964287,2.656393370508105,0
29,18521,2019,11031.2790132183,0.9391407589540604,3.31185178409877,4.968245154606874,0
30,18524,2020,11746.14019042689,1.0,8.894712919351024,12.862958073957898,0
31,18527,2021,11593.67308060576,0.9870198118403704,7.703988441700106,19.566946515658003,0
